fulldate,month,dayofmonth,bankholiday,schoolholiday,weekend,mean,max
18.12.2019,12,18,False,False,False,32.9375,72
19.12.2019,12,19,False,False,False,32.05300353,69
20.12.2019,12,20,False,False,False,33.36111111,72
21.12.2019,12,21,False,False,True,28.70138889,58
22.12.2019,12,22,False,False,True,20.79790941,45
23.12.2019,12,23,False,False,False,34.32291667,72
24.12.2019,12,24,False,False,False,35.91637631,67
25.12.2019,12,25,False,False,False,33.26241135,72
26.12.2019,12,26,False,False,False,38.68641115,74
27.12.2019,12,27,False,False,False,36.94097222,78
28.12.2019,12,28,False,False,True,34.89236111,65
29.12.2019,12,29,False,False,True,21.23611111,42
30.12.2019,12,30,False,False,False,36.82638889,71
31.12.2019,12,31,True,False,False,32.1184669,62
